operator,amenity,layer,opening_hours,parking_type,Parking Station Name,Coordinates,Rate Zone,Zone Info,Location ID,Geometry Type,CenterPoint,CenterPoint_rad,Distance to Nearest,CenterPoint_tuple,Distance to Others
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9170161, 40.867904], [-73.9167633, 40.8682603], [-73.9164547, 40.868135], [-73.9167076, 40.8677787], [-73.9170161, 40.867904]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),127,LineString,"[-73.9167354, 40.8680195]","[-1.2900904050554476, 0.7132814990442468]",6.285119380920109,"(-73.9167354, 40.8680195)","[0.3009297325521841, 0.3009297325521841, 0.3147824147486658, 0.004670195200882157, 0.29376272612170007, 0.30895332258378627, 0.38859092622986524, 0.5083543339365199, 0.38264351309008227, 0.5047322251670324, 0.994739445294483, 0.9481020772116925, 0.7747958864022184, 1.0224750347010552, 0.9522486486110663, 0.7234689530746553, 0.5907725152375011, 0.5959672636519671]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.916026, 40.8702676], [-73.9158083, 40.8701016], [-73.9156515, 40.8702191], [-73.9158691, 40.8703852], [-73.916026, 40.8702676]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),127,LineString,"[-73.91583875, 40.8702434]","[-1.29007475556071, 0.7133203134214818]",4.1646740150057076,"(-73.91583875, 40.8702434)","[0.3009297325521841, 0.3009297325521841, 0.3147824147486658, 0.004670195200882157, 0.29376272612170007, 0.30895332258378627, 0.38859092622986524, 0.5083543339365199, 0.38264351309008227, 0.5047322251670324, 0.994739445294483, 0.9481020772116925, 0.7747958864022184, 1.0224750347010552, 0.9522486486110663, 0.7234689530746553, 0.5907725152375011, 0.5959672636519671]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9690596, 40.7971052], [-73.9692645, 40.7971909], [-73.9693462, 40.797079], [-73.9689583, 40.7969167], [-73.9689285, 40.7969043], [-73.9687949, 40.7970872], [-73.9690077, 40.7971762], [-73.9690596, 40.7971052]]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),151,LineString,"[-73.96907055, 40.7970476]","[-1.291003825737473, 0.7120428057128506]",2.057802694789252,"(-73.96907055, 40.7970476)","[0.12944750138706962, 0.4311353725503314, 0.12060401185570901, 0.12928702985545873, 0.3467390995543039, 0.25026148605705856, 0.05572221789510235, 0.07311179171613282, 0.3343027059285015, 0.2582891441366458, 0.056983943004028106, 0.07409877030736929, 0.21778669833508274, 0.21893035050263823, 0.11614092059694008, 0.13830589490421988, 0.07067272851051198, 0.3547416588970393, 0.3934320728021584, 0.00570926810531774, 0.031303942989651466, 0.21978223352847684, 0.21590798917339374, 0.11125276385489694, 0.12935807870883748, 0.06903343261309626, 0.34572289212970386, 0.3899095007745052, 0.3899095007745052, 0.36521453875970594]"
N/A,parking,N/A,N/A,lane,Unnamed,"[[-73.9431159, 40.7933813], [-73.9412263, 40.7925854], [-73.9412574, 40.7925488], [-73.9431397, 40.7933452], [-73.9431159, 40.7933813]]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),75,LineString,"[-73.942183, 40.79296505]","[-1.2905345494621783, 0.7119715517734733]",6.929408375470098,"(-73.942183, 40.79296505)","[1.0575352351612513, 1.0710940419798727, 0.3277171919006888, 0.32692843183838427, 0.6287553102738824, 0.6292083112715141, 0.9096933029992639, 0.3238107423269595, 0.26113342567790576, 0.2910533399845383, 0.2612525092133306, 0.29686394611631045, 0.5563800483108865, 0.1811692359110132, 0.3604240184945824, 0.23571338611034806, 0.8529232975492493, 0.4553941774821129, 0.347483151293406, 0.6507330403230575, 0.5326352170979939, 0.8079247629523718, 0.8395507445630646, 1.0652471001541024, 0.9381238356912299, 0.34379077959645554, 0.3434857069397034, 0.28124803093896467, 1.0288463168699429, 0.6210486046136675, 0.911038413726621, 0.32819529498690975, 0.2550333537870731, 0.2961817911671599, 0.2627760413221827, 0.2950785251464382, 0.5590331447357323, 0.18027239713281829, 0.363243837557913, 0.22699247598040787, 0.8484059983185198, 0.457301442930623, 0.35316093063414267, 0.6500841249179468, 0.5349286499694235, 0.8146574716095736, 0.8440718682355489, 1.0699838494335956, 0.9421961934039698, 0.34209077024316625, 0.3281490336701081, 0.28130967363001297, 1.035418263560046, 0.6229623430875005, 0.5150790286632861, 0.34717389740385857, 0.021565876546503146, 0.7411277654265387, 0.2914828525531976, 0.44404795614455067, 0.5502494477866894, 0.5224739270984322, 0.3509525557099569, 0.3509525557099569, 0.44743380470115274, 0.29383203063164354, 0.8058675959871319, 0.8943715105936324, 0.321744960076953, 0.4973798156738168, 0.6729291689877275, 0.06544386236639248, 0.6808241519753023, 0.6642810457320261, 0.677793699882825, 0.48127086270836517, 0.4575522176327924, 0.9285704050161266, 0.5907556526301845, 0.30808463829159294, 0.5056225526603854, 0.6716748097686025, 0.06004067167471571, 0.6800216924938169, 0.666410577611798, 0.6813297643410985, 0.4816738170584215, 0.4608418443540995, 0.9236916702219112, 0.5843699942895951, 0.3046041208055368, 0.2742263391321642, 0.17403150456881603, 0.1279891911938842, 0.30256485094676494, 0.2708735055146685, 0.17951918355522756, 0.13550643728120915]"
N/A,parking,N/A,N/A,lane,Unnamed,"[[-73.9430686, 40.7934678], [-73.9411763, 40.7926794], [-73.9411862, 40.7926658], [-73.9430785, 40.7934543], [-73.9430686, 40.7934678]]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),74,LineString,"[-73.9421274, 40.793066800000005]","[-1.2905335790591144, 0.7119733276459873]",6.929408375470098,"(-73.9421274, 40.793066800000005)","[0.3261482816337104, 0.32552211393711716, 1.0848711681729588, 1.0873849139825165, 0.46482770816028585, 0.4614759308768372, 0.11620505886085976, 0.07775157545884624, 0.06314980757313794, 0.14232268637377943, 0.18465440679796286, 0.27884864127915926, 0.25879386860830805, 0.26034565345762267, 0.44106801703987103, 0.38604319313157387, 0.7880091831434897, 0.5330964489702826, 0.6541448667962934, 0.39417883965123063, 0.5172524188544476, 0.4166191608319235, 0.1420471232828316, 0.10497890071412841, 0.11287148896200788, 0.07948301730078833, 0.06306756525537857, 0.13770666069552204, 0.17681179341137146, 0.27463251305219144, 0.25387441374111264, 0.2570550808134163, 0.4371081360165682, 0.3812153299266042, 0.7875002567767344, 0.5481943667318382, 0.6663140006598218, 0.40063061085174606, 0.5237527660517329, 0.42453360837782533, 0.15221403441369874, 0.1142870378356838, 0.003420870093067137, 0.15463591214204164, 0.22230451459194486, 0.30738578151317386, 0.6184760846489371, 0.45062997744049427, 0.7452955141631546, 0.2850330186300045, 0.14750972437031387, 0.19738881024827223, 0.9395498684007533, 0.6180604413892972, 0.5877755225456157, 1.0645539602280996, 1.1407663193377275, 0.878109939254504, 0.8567059111183657, 0.5797989585347769, 0.05625152584340698, 0.5348562701232129, 0.10919551488826179, 0.10919551488826179, 0.19638993002257657, 0.18163598401669637, 0.3540656515980827, 0.6455161196817293, 0.46662412935268033, 0.7658742149068056, 0.3221888885840342, 0.20896477863813745, 0.2326332992263145, 0.9058021943791725, 0.6164031946215505, 0.5905951879329022, 1.0329844786052578, 1.1397423782452094, 0.8447626589126229, 0.8261640168028803, 0.6230989694062141, 0.15901793188638577, 0.5864438815138988, 0.005168575062415655, 0.7383442532018367, 0.977054097285836, 0.8866180551327001, 0.737973389790044, 0.9893910484067187, 0.891461084034085, 1.1965326521299489, 1.0038377511009586, 0.0920674332942746, 1.1933444677172471, 1.0038778968159068, 0.08854556138098875, 0.2744276568746716, 0.2700198588600261]"
N/A,parking,N/A,N/A,garage_boxes,MPG,"[[-73.9491745, 40.7880657], [-73.9487945, 40.7879072], [-73.9486214, 40.7881446], [-73.9487157, 40.7881843], [-73.9487594, 40.7881138], [-73.9490438, 40.7882449], [-73.9490816, 40.788193], [-73.9491272, 40.7881306], [-73.9491745, 40.7880657]]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),75,LineString,"[-73.94889795, 40.78807605]","[-1.290651747448785, 0.7118862226263433]",5.22962986271194,"(-73.94889795, 40.78807605)","[1.0575352351612513, 1.0710940419798727, 0.3277171919006888, 0.32692843183838427, 0.6287553102738824, 0.6292083112715141, 0.9096933029992639, 0.3238107423269595, 0.26113342567790576, 0.2910533399845383, 0.2612525092133306, 0.29686394611631045, 0.5563800483108865, 0.1811692359110132, 0.3604240184945824, 0.23571338611034806, 0.8529232975492493, 0.4553941774821129, 0.347483151293406, 0.6507330403230575, 0.5326352170979939, 0.8079247629523718, 0.8395507445630646, 1.0652471001541024, 0.9381238356912299, 0.34379077959645554, 0.3434857069397034, 0.28124803093896467, 1.0288463168699429, 0.6210486046136675, 0.911038413726621, 0.32819529498690975, 0.2550333537870731, 0.2961817911671599, 0.2627760413221827, 0.2950785251464382, 0.5590331447357323, 0.18027239713281829, 0.363243837557913, 0.22699247598040787, 0.8484059983185198, 0.457301442930623, 0.35316093063414267, 0.6500841249179468, 0.5349286499694235, 0.8146574716095736, 0.8440718682355489, 1.0699838494335956, 0.9421961934039698, 0.34209077024316625, 0.3281490336701081, 0.28130967363001297, 1.035418263560046, 0.6229623430875005, 0.5150790286632861, 0.34717389740385857, 0.021565876546503146, 0.7411277654265387, 0.2914828525531976, 0.44404795614455067, 0.5502494477866894, 0.5224739270984322, 0.3509525557099569, 0.3509525557099569, 0.44743380470115274, 0.29383203063164354, 0.8058675959871319, 0.8943715105936324, 0.321744960076953, 0.4973798156738168, 0.6729291689877275, 0.06544386236639248, 0.6808241519753023, 0.6642810457320261, 0.677793699882825, 0.48127086270836517, 0.4575522176327924, 0.9285704050161266, 0.5907556526301845, 0.30808463829159294, 0.5056225526603854, 0.6716748097686025, 0.06004067167471571, 0.6800216924938169, 0.666410577611798, 0.6813297643410985, 0.4816738170584215, 0.4608418443540995, 0.9236916702219112, 0.5843699942895951, 0.3046041208055368, 0.2742263391321642, 0.17403150456881603, 0.1279891911938842, 0.30256485094676494, 0.2708735055146685, 0.17951918355522756, 0.13550643728120915]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9391199, 40.8058514], [-73.9391039, 40.8058742], [-73.9388218, 40.805761], [-73.9390235, 40.8054729], [-73.9393057, 40.8055861], [-73.9391199, 40.8058514]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),74,LineString,"[-73.93906375, 40.805673549999995]","[-1.2904801082794854, 0.7121933569414629]",5.542096989344974,"(-73.93906375, 40.805673549999995)","[0.3261482816337104, 0.32552211393711716, 1.0848711681729588, 1.0873849139825165, 0.46482770816028585, 0.4614759308768372, 0.11620505886085976, 0.07775157545884624, 0.06314980757313794, 0.14232268637377943, 0.18465440679796286, 0.27884864127915926, 0.25879386860830805, 0.26034565345762267, 0.44106801703987103, 0.38604319313157387, 0.7880091831434897, 0.5330964489702826, 0.6541448667962934, 0.39417883965123063, 0.5172524188544476, 0.4166191608319235, 0.1420471232828316, 0.10497890071412841, 0.11287148896200788, 0.07948301730078833, 0.06306756525537857, 0.13770666069552204, 0.17681179341137146, 0.27463251305219144, 0.25387441374111264, 0.2570550808134163, 0.4371081360165682, 0.3812153299266042, 0.7875002567767344, 0.5481943667318382, 0.6663140006598218, 0.40063061085174606, 0.5237527660517329, 0.42453360837782533, 0.15221403441369874, 0.1142870378356838, 0.003420870093067137, 0.15463591214204164, 0.22230451459194486, 0.30738578151317386, 0.6184760846489371, 0.45062997744049427, 0.7452955141631546, 0.2850330186300045, 0.14750972437031387, 0.19738881024827223, 0.9395498684007533, 0.6180604413892972, 0.5877755225456157, 1.0645539602280996, 1.1407663193377275, 0.878109939254504, 0.8567059111183657, 0.5797989585347769, 0.05625152584340698, 0.5348562701232129, 0.10919551488826179, 0.10919551488826179, 0.19638993002257657, 0.18163598401669637, 0.3540656515980827, 0.6455161196817293, 0.46662412935268033, 0.7658742149068056, 0.3221888885840342, 0.20896477863813745, 0.2326332992263145, 0.9058021943791725, 0.6164031946215505, 0.5905951879329022, 1.0329844786052578, 1.1397423782452094, 0.8447626589126229, 0.8261640168028803, 0.6230989694062141, 0.15901793188638577, 0.5864438815138988, 0.005168575062415655, 0.7383442532018367, 0.977054097285836, 0.8866180551327001, 0.737973389790044, 0.9893910484067187, 0.891461084034085, 1.1965326521299489, 1.0038377511009586, 0.0920674332942746, 1.1933444677172471, 1.0038778968159068, 0.08854556138098875, 0.2744276568746716, 0.2700198588600261]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9299363, 40.8576335], [-73.9304298, 40.8575838], [-73.9304955, 40.857452], [-73.9304231, 40.8574322], [-73.9304043, 40.8574738], [-73.9304003, 40.857455], [-73.9303929, 40.8574286], [-73.9303882, 40.8574023], [-73.9298987, 40.8574469], [-73.9299363, 40.8576335]]",Outerborough,Zone 3 - (All Vehicles $1.25 1st Hour / $2.00 2nd Hour),243,LineString,"[-73.9301971, 40.8575179]","[-1.2903253560433636, 0.7130982115475193]",14.441847122972682,"(-73.9301971, 40.8575179)","[0.20315571204003186, 0.20315571204003186, 0.4031552783135169, 0.4295254734438677, 0.20174373186145972, 0.40615142416342037, 0.4294013710705494, 0.3479777376511875, 0.29770981947769276, 0.3518334317117034, 0.3004680362162144, 0.30725839138991123, 0.31426704879282935, 0.8512853590541323, 0.8760624603426256, 0.27884921695492176, 0.2098837685059143, 0.35031005496863016, 0.8525216672424665, 0.8903602894750311, 0.29038572696282666, 0.2099581908958151, 0.35016076049582423]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9865833, 40.7750224], [-73.9866944, 40.7750685], [-73.9866319, 40.7751549], [-73.9867405, 40.7752001], [-73.9866475, 40.7753284], [-73.9866069, 40.7753116], [-73.9865427, 40.7754002], [-73.9864763, 40.7753726], [-73.9863654, 40.7755258], [-73.9862527, 40.775479], [-73.9862553, 40.7754753], [-73.9865833, 40.7750224]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,LineString,"[-73.9864966, 40.7752741]","[-1.29130796768559, 0.7116627864481675]",5.395629052798546,"(-73.9864966, 40.7752741)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9850369, 40.7755684], [-73.98511, 40.7756764], [-73.9850117, 40.7757145], [-73.9849758, 40.7757454], [-73.9847156, 40.7760986], [-73.9844567, 40.7759933], [-73.9840371, 40.7765561], [-73.9843296, 40.7766823], [-73.9842768, 40.7767468], [-73.9842085, 40.7767204], [-73.9841018, 40.7768711], [-73.9840311, 40.776863], [-73.9839591, 40.7768348], [-73.9839184, 40.776794], [-73.9836822, 40.7767086], [-73.9843895, 40.77574], [-73.9846775, 40.775856], [-73.984748, 40.7758889], [-73.9847923, 40.7758671], [-73.9848786, 40.775749], [-73.9848151, 40.77572], [-73.9848595, 40.7756728], [-73.9849014, 40.7756319], [-73.9849662, 40.7755983], [-73.9850369, 40.7755684]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,LineString,"[-73.9843961, 40.776219749999996]","[-1.291271307044652, 0.711679291154239]",18.438791668518974,"(-73.9843961, 40.776219749999996)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9848373, 40.7774362], [-73.9849237, 40.777317], [-73.9854829, 40.7775495], [-73.9853964, 40.7776687], [-73.9848373, 40.7774362]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,LineString,"[-73.9851601, 40.77749285]","[-1.291284641360137, 0.7117015109409462]",7.184932386894712,"(-73.9851601, 40.77749285)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9680179, 40.7785735], [-73.9679851, 40.7786197], [-73.9679729, 40.7786146], [-73.9679577, 40.7786082], [-73.9679302, 40.7785967], [-73.9679028, 40.7785852], [-73.9678753, 40.7785737], [-73.9678478, 40.7785622], [-73.9678193, 40.7785501], [-73.9677907, 40.778538], [-73.9677669, 40.7785284], [-73.9677823, 40.7785082], [-73.9678025, 40.7784905], [-73.9678227, 40.7784728], [-73.9678428, 40.778455], [-73.967863, 40.7784373], [-73.967877, 40.7784231], [-73.9678911, 40.7784089], [-73.967916, 40.7784182], [-73.9679359, 40.7784258], [-73.9679658, 40.7784368], [-73.9679907, 40.7784461], [-73.9680212, 40.7784573], [-73.9680517, 40.7784685], [-73.9680743, 40.7784768], [-73.9681048, 40.7784882], [-73.9681274, 40.7784967], [-73.96815, 40.7785052], [-73.9681364, 40.7785233], [-73.9681228, 40.7785415], [-73.9681091, 40.7785596], [-73.9680955, 40.7785777], [-73.9680805, 40.7785991], [-73.9680179, 40.7785735]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),43,LineString,"[-73.96795845, 40.7785143]","[-1.2909844159308614, 0.7117193386065906]",0.6306692396307164,"(-73.96795845, 40.7785143)","[0.47345833518510705, 0.36567591190406223, 0.34501448220368613, 0.3514722745777578, 0.3581825781951708, 0.3432501988804883, 0.35130875329378675, 1.1224428030326457, 1.1279342266519181, 0.05656625835954864, 0.05812710998384085, 0.05812710998384085, 0.058705883911266396]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9646282, 40.7941834], [-73.9650471, 40.7935984], [-73.9651206, 40.7936286], [-73.9651497, 40.793588], [-73.9659396, 40.7939124], [-73.9654915, 40.7945379], [-73.9646282, 40.7941834]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),151,LineString,"[-73.9652839, 40.79406295]","[-1.2909377362273524, 0.7119907137433309]",7.053361542083381,"(-73.9652839, 40.79406295)","[0.12944750138706962, 0.4311353725503314, 0.12060401185570901, 0.12928702985545873, 0.3467390995543039, 0.25026148605705856, 0.05572221789510235, 0.07311179171613282, 0.3343027059285015, 0.2582891441366458, 0.056983943004028106, 0.07409877030736929, 0.21778669833508274, 0.21893035050263823, 0.11614092059694008, 0.13830589490421988, 0.07067272851051198, 0.3547416588970393, 0.3934320728021584, 0.00570926810531774, 0.031303942989651466, 0.21978223352847684, 0.21590798917339374, 0.11125276385489694, 0.12935807870883748, 0.06903343261309626, 0.34572289212970386, 0.3899095007745052, 0.3899095007745052, 0.36521453875970594]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.9444119, 40.786567], [-73.9444005, 40.7865763], [-73.9443877, 40.7865786], [-73.9443711, 40.7865801], [-73.9443216, 40.7865617], [-73.9441372, 40.7868166], [-73.9443375, 40.7869066], [-73.9443821, 40.7868443], [-73.9445277, 40.7866458], [-73.9444784, 40.7866262], [-73.9444733, 40.7866201], [-73.9444692, 40.7866111], [-73.9444682, 40.7866016], [-73.9444738, 40.7865931], [-73.9444119, 40.786567]]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),75,LineString,"[-73.94433244999999, 40.78673415]","[-1.290572064441785, 0.7118628020531108]",9.11595302202448,"(-73.94433244999999, 40.78673415)","[1.0575352351612513, 1.0710940419798727, 0.3277171919006888, 0.32692843183838427, 0.6287553102738824, 0.6292083112715141, 0.9096933029992639, 0.3238107423269595, 0.26113342567790576, 0.2910533399845383, 0.2612525092133306, 0.29686394611631045, 0.5563800483108865, 0.1811692359110132, 0.3604240184945824, 0.23571338611034806, 0.8529232975492493, 0.4553941774821129, 0.347483151293406, 0.6507330403230575, 0.5326352170979939, 0.8079247629523718, 0.8395507445630646, 1.0652471001541024, 0.9381238356912299, 0.34379077959645554, 0.3434857069397034, 0.28124803093896467, 1.0288463168699429, 0.6210486046136675, 0.911038413726621, 0.32819529498690975, 0.2550333537870731, 0.2961817911671599, 0.2627760413221827, 0.2950785251464382, 0.5590331447357323, 0.18027239713281829, 0.363243837557913, 0.22699247598040787, 0.8484059983185198, 0.457301442930623, 0.35316093063414267, 0.6500841249179468, 0.5349286499694235, 0.8146574716095736, 0.8440718682355489, 1.0699838494335956, 0.9421961934039698, 0.34209077024316625, 0.3281490336701081, 0.28130967363001297, 1.035418263560046, 0.6229623430875005, 0.5150790286632861, 0.34717389740385857, 0.021565876546503146, 0.7411277654265387, 0.2914828525531976, 0.44404795614455067, 0.5502494477866894, 0.5224739270984322, 0.3509525557099569, 0.3509525557099569, 0.44743380470115274, 0.29383203063164354, 0.8058675959871319, 0.8943715105936324, 0.321744960076953, 0.4973798156738168, 0.6729291689877275, 0.06544386236639248, 0.6808241519753023, 0.6642810457320261, 0.677793699882825, 0.48127086270836517, 0.4575522176327924, 0.9285704050161266, 0.5907556526301845, 0.30808463829159294, 0.5056225526603854, 0.6716748097686025, 0.06004067167471571, 0.6800216924938169, 0.666410577611798, 0.6813297643410985, 0.4816738170584215, 0.4608418443540995, 0.9236916702219112, 0.5843699942895951, 0.3046041208055368, 0.2742263391321642, 0.17403150456881603, 0.1279891911938842, 0.30256485094676494, 0.2708735055146685, 0.17951918355522756, 0.13550643728120915]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[[-73.9750216, 40.7792998], [-73.9747333, 40.7791752], [-73.9745626, 40.7794016], [-73.9747646, 40.779489], [-73.9748102, 40.7794285], [-73.9748964, 40.7794658], [-73.9750216, 40.7792998]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),239,LineString,"[-73.9747921, 40.7793321]","[-1.2911036856232905, 0.7117336119092135]",4.343085311458407,"(-73.9747921, 40.7793321)","[0.2551974930442165, 0.2240697819648611, 0.1909435236520227, 0.1250799148047187, 0.2671965376555393, 0.26995248905817054, 0.3573290348959209, 0.35301799288069613, 0.35301799288069613, 0.3517153234472446]"
N/A,parking,N/A,N/A,surface,Unnamed,"[[-73.987887, 40.7714539], [-73.9877536, 40.7713978], [-73.9876997, 40.7714753], [-73.9878708, 40.7715463], [-73.9878946, 40.7715133], [-73.9878558, 40.7714972], [-73.987865, 40.7714844], [-73.987887, 40.7714539]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,LineString,"[-73.98779715, 40.77147205]","[-1.291330666565177, 0.7115964281573421]",4.796946549543564,"(-73.98779715, 40.77147205)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
New York City Housing Authority,parking,N/A,N/A,surface,Unnamed,"[[-73.9874362, 40.7720764], [-73.9872883, 40.7720155], [-73.9870534, 40.7723414], [-73.9870875, 40.7723559], [-73.9886062, 40.7729987], [-73.9887018, 40.7730392], [-73.9889412, 40.7727086], [-73.9887765, 40.7726365], [-73.9886022, 40.7728758], [-73.9878926, 40.7725792], [-73.9872619, 40.7723156], [-73.9874362, 40.7720764]]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,LineString,"[-73.98799729999999, 40.772527350000004]","[-1.2913341598416745, 0.7116148466169385]",5.8170011142949445,"(-73.98799729999999, 40.772527350000004)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
