operator,amenity,layer,opening_hours,parking_type,Parking Station Name,Coordinates,Rate Zone,Zone Info,Location ID,Geometry Type,CenterPoint,CenterPoint_rad,Distance to Nearest,CenterPoint_tuple,Distance to Others
N/A,parking,N/A,N/A,N/A,Unnamed,"[-74.0083438, 40.7047343]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),87,Point,"[-74.0083438, 40.7047343]","[-1.291689273257932, 0.7104316346844692]",144.77834327264745,"(-74.0083438, 40.7047343)","[0.4155796102015167, 0.0007135845554963285, 0.0007135845554963285, 0.08259704869623331, 0.08672115083763217, 0.2807804732311854, 0.2859300116551623, 0.10776623412343622, 0.10287861760420984]"
N/A,parking,N/A,N/A,N/A,Unnamed,"[-74.0105832, 40.7052075]",Financial District,Zone M1 - (Commercial Vehicles $6.00 1st Hour / $7.00 2nd Hour / $8.00 3rd Hour - All Vehicles $4.50 1st Hour / $7.50 2nd Hour),88,Point,"[-74.0105832, 40.7052075]","[-1.291728358161201, 0.7104398935824897]",27.613821093762432,"(-74.0105832, 40.7052075)","[0.03058323273414919, 0.004599216943157643, 0.004599216943157643, 0.18118249981194137, 0.17828360644866298]"
Rapid Park,parking,N/A,24/7,N/A,Unnamed,"[-73.9632817, 40.7945665]",96th St to 110th St,Zone M3 - (All Vehicles $2.50 1st Hour / $4.00 2nd Hour),151,Point,"[-73.9632817, 40.7945665]","[-1.2909027912450688, 0.7119995023487794]",66.8444592870774,"(-73.9632817, 40.7945665)","[0.12944750138706962, 0.4311353725503314, 0.12060401185570901, 0.12928702985545873, 0.3467390995543039, 0.25026148605705856, 0.05572221789510235, 0.07311179171613282, 0.3343027059285015, 0.2582891441366458, 0.056983943004028106, 0.07409877030736929, 0.21778669833508274, 0.21893035050263823, 0.11614092059694008, 0.13830589490421988, 0.07067272851051198, 0.3547416588970393, 0.3934320728021584, 0.00570926810531774, 0.031303942989651466, 0.21978223352847684, 0.21590798917339374, 0.11125276385489694, 0.12935807870883748, 0.06903343261309626, 0.34572289212970386, 0.3899095007745052, 0.3899095007745052, 0.36521453875970594]"
Icon Parking Systems,parking,-1.0,N/A,underground,Unnamed,"[-73.982916, 40.7780678]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,Point,"[-73.982916, 40.7780678]","[-1.2912454744263933, 0.7117115457114805]",72.38855716375686,"(-73.982916, 40.7780678)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
Icon Parking Systems,parking,-1.0,24/7,underground,Unnamed,"[-73.9771648, 40.7861813]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),239,Point,"[-73.9771648, 40.7861813]","[-1.2911450970504523, 0.7118531530003411]",98.13904480941076,"(-73.9771648, 40.7861813)","[0.2551974930442165, 0.2240697819648611, 0.1909435236520227, 0.1250799148047187, 0.2671965376555393, 0.26995248905817054, 0.3573290348959209, 0.35301799288069613, 0.35301799288069613, 0.3517153234472446]"
Icon Parking Systems,parking,-1.0,24/7,underground,Unnamed,"[-73.9768806, 40.7892085]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),238,Point,"[-73.9768806, 40.7892085]","[-1.2911401368247184, 0.7119059876074575]",26.610216908089612,"(-73.9768806, 40.7892085)","[0.5816341950655698, 0.41320975230440604, 0.41320975230440604, 0.3876144054646668, 0.1832956293686829, 0.2867325719275369, 0.28893160686941594, 0.26457961602410146, 0.25994556869973706]"
GMC,parking,N/A,24/7,surface,Unnamed,"[-73.9766476, 40.7894063]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),238,Point,"[-73.9766476, 40.7894063]","[-1.2911360702075612, 0.711909439868718]",26.610216908089612,"(-73.9766476, 40.7894063)","[0.5816341950655698, 0.41320975230440604, 0.41320975230440604, 0.3876144054646668, 0.1832956293686829, 0.2867325719275369, 0.28893160686941594, 0.26457961602410146, 0.25994556869973706]"
Icon Parking Systems,parking,-1.0,24/7,underground,Unnamed,"[-73.9741591, 40.7900036]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),238,Point,"[-73.9741591, 40.7900036]","[-1.2910926376891252, 0.7119198647203401]",183.2956293686829,"(-73.9741591, 40.7900036)","[0.5816341950655698, 0.41320975230440604, 0.41320975230440604, 0.3876144054646668, 0.1832956293686829, 0.2867325719275369, 0.28893160686941594, 0.26457961602410146, 0.25994556869973706]"
Icon Parking,parking,-1.0,Mo-Fr 06:00-22:00,underground,101 West End Parking,"[-73.9891081, 40.775294]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,Point,"[-73.9891081, 40.775294]","[-1.2913535469590058, 0.7116631337686887]",67.17398871686787,"(-73.9891081, 40.775294)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
Icon Parkin,parking,-1.0,N/A,underground,Unnamed,"[-73.9898705, 40.7753156]",Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),143,Point,"[-73.9898705, 40.7753156]","[-1.291366853349223, 0.7116635107598072]",19.33499854368038,"(-73.9898705, 40.7753156)","[0.36705106249731106, 0.33353567888336194, 0.4157225556624931, 0.3966306713442846, 0.34150624729000306, 0.4918539450976546, 0.057307529393096246, 0.06901872568733557, 0.16665146647898016, 0.24754879590917486, 0.30349063105864427, 0.05674707717975104, 0.1188624902505672, 0.08087432486472289, 0.050975759624911174, 0.058118734020461624, 0.15468069806034732, 0.24253007866331483, 0.29891293107984535, 0.05720263729776756, 0.12274943000646622, 0.08411943289492277, 0.09467405628235143, 0.2112739102112047, 0.11942481070494042, 0.2707960550346396, 0.26335601116586693, 0.09597657633642462, 0.19491005794531843, 0.11230575964902259, 0.2736188870916013, 0.26717629869008475, 0.26717629869008475, 0.2643222079936684]"
