operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.978958, 40.7462336]",170,underground,N/A,N/A,"[-73.978958, 40.7462336]","[-1.2911763942945993, 0.7111559341067422]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9712031, 40.7459331]",233,underground,N/A,N/A,"[-73.9712031, 40.7459331]","[-1.2910410457564363, 0.7111506893923399]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9715741, 40.7451091]",233,underground,N/A,N/A,"[-73.9715741, 40.7451091]","[-1.2910475209279613, 0.7111363078793035]"
N/A,parking,-1.0,N/A,Point,Quik Park Garage,"[-73.9732633, 40.7537377]",162,underground,N/A,N/A,"[-73.9732633, 40.7537377]","[-1.2910770030296859, 0.7112869053591411]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.991328, 40.729394]",113,underground,N/A,N/A,"[-73.991328, 40.729394]","[-1.291392291523071, 0.7108620276420233]"
N/A,parking,N/A,N/A,Point,Waterside Plaza Parking,"[-73.9735451, 40.7378339]",137,garage,N/A,N/A,"[-73.9735451, 40.7378339]","[-1.291081921367518, 0.7110093316855624]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9828904, 40.762404]",230,multi-storey,N/A,N/A,"[-73.9828904, 40.762404]","[-1.2912450276221046, 0.7114381608281066]"
Herald Square Parking LLC,parking,-1.0,N/A,Point,Unnamed,"[-73.990726, 40.7470293]",186,underground,N/A,N/A,"[-73.990726, 40.7470293]","[-1.2913817846409739, 0.7111698216916004]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.98464, 40.7472701]",164,underground,N/A,N/A,"[-73.98464, 40.7472701]","[-1.2912755639026976, 0.7111740244444391]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9935898, 40.731674]",113,underground,N/A,N/A,"[-73.9935898, 40.731674]","[-1.2914317673800924, 0.7109018211489688]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9938962, 40.7367007]",234,underground,N/A,N/A,"[-73.9938962, 40.7367007]","[-1.2914371150689206, 0.7109895536144788]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-74.0062934, 40.7160382]",231,underground,N/A,N/A,"[-74.0062934, 40.7160382]","[-1.291653487026949, 0.7106289249577855]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-73.9782867, 40.7621082]",161,surface,N/A,N/A,"[-73.9782867, 40.7621082]","[-1.2911646778993306, 0.7114329981441793]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9794599, 40.7646852]",163,underground,N/A,N/A,"[-73.9794599, 40.7646852]","[-1.2911851541021149, 0.7114779752790032]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9829189, 40.7648085]",163,underground,N/A,N/A,"[-73.9829189, 40.7648085]","[-1.2912455250409416, 0.7114801272699709]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9838062, 40.7669507]",48,underground,N/A,N/A,"[-73.9838062, 40.7669507]","[-1.2912610113473946, 0.7115175157132071]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9733298, 40.7492126]",233,underground,N/A,N/A,"[-73.9733298, 40.7492126]","[-1.2910781636736386, 0.711207927465159]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9731873, 40.7492675]",233,underground,N/A,N/A,"[-73.9731873, 40.7492675]","[-1.2910756765794544, 0.7112088856509184]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9930318, 40.7514135]",186,underground,N/A,N/A,"[-73.9930318, 40.7514135]","[-1.2914220284428664, 0.7112463404166662]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9928906, 40.7516087]",186,underground,N/A,N/A,"[-73.9928906, 40.7516087]","[-1.2914195640379624, 0.7112497472993661]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9798254, 40.7506425]",170,underground,N/A,N/A,"[-73.9798254, 40.7506425]","[-1.291191533280531, 0.7112328839281333]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9803469, 40.7506696]",170,underground,N/A,N/A,"[-73.9803469, 40.7506696]","[-1.2912006351725802, 0.7112333569123607]"
N/A,parking,-1.0,N/A,Point,Unnamed,"[-73.9717142, 40.7466157]",170,underground,N/A,N/A,"[-73.9717142, 40.7466157]","[-1.2910499661342432, 0.711162603009814]"
icon,parking,-1.0,N/A,Point,icon 24hr Parking,"[-73.9722414, 40.7482754]",233,underground,N/A,N/A,"[-73.9722414, 40.7482754]","[-1.2910591675100598, 0.7111915702394094]"
N/A,parking,N/A,N/A,Point,Unnamed,"[-74.0113061, 40.7186927]",231,N/A,N/A,N/A,"[-74.0113061, 40.7186927]","[-1.2917409751463635, 0.7106752547227796]"
