operator,amenity,layer,opening_hours,Geometry Type,Parking Station Name,Coordinates,Location ID,parking_type,Rate Zone,Zone Info,CenterPoint,CenterPoint_rad
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9865833, 40.7750224], [-73.9866944, 40.7750685], [-73.9866319, 40.7751549], [-73.9867405, 40.7752001], [-73.9866475, 40.7753284], [-73.9866069, 40.7753116], [-73.9865427, 40.7754002], [-73.9864763, 40.7753726], [-73.9863654, 40.7755258], [-73.9862527, 40.775479], [-73.9862553, 40.7754753], [-73.9865833, 40.7750224]]",143,N/A,N/A,N/A,"[-73.9864966, 40.7752741]","[-1.29130796768559, 0.7116627864481675]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9850369, 40.7755684], [-73.98511, 40.7756764], [-73.9850117, 40.7757145], [-73.9849758, 40.7757454], [-73.9847156, 40.7760986], [-73.9844567, 40.7759933], [-73.9840371, 40.7765561], [-73.9843296, 40.7766823], [-73.9842768, 40.7767468], [-73.9842085, 40.7767204], [-73.9841018, 40.7768711], [-73.9840311, 40.776863], [-73.9839591, 40.7768348], [-73.9839184, 40.776794], [-73.9836822, 40.7767086], [-73.9843895, 40.77574], [-73.9846775, 40.775856], [-73.984748, 40.7758889], [-73.9847923, 40.7758671], [-73.9848786, 40.775749], [-73.9848151, 40.77572], [-73.9848595, 40.7756728], [-73.9849014, 40.7756319], [-73.9849662, 40.7755983], [-73.9850369, 40.7755684]]",143,N/A,N/A,N/A,"[-73.9843961, 40.776219749999996]","[-1.291271307044652, 0.711679291154239]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9848373, 40.7774362], [-73.9849237, 40.777317], [-73.9854829, 40.7775495], [-73.9853964, 40.7776687], [-73.9848373, 40.7774362]]",143,N/A,N/A,N/A,"[-73.9851601, 40.77749285]","[-1.291284641360137, 0.7117015109409462]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9680179, 40.7785735], [-73.9679851, 40.7786197], [-73.9679729, 40.7786146], [-73.9679577, 40.7786082], [-73.9679302, 40.7785967], [-73.9679028, 40.7785852], [-73.9678753, 40.7785737], [-73.9678478, 40.7785622], [-73.9678193, 40.7785501], [-73.9677907, 40.778538], [-73.9677669, 40.7785284], [-73.9677823, 40.7785082], [-73.9678025, 40.7784905], [-73.9678227, 40.7784728], [-73.9678428, 40.778455], [-73.967863, 40.7784373], [-73.967877, 40.7784231], [-73.9678911, 40.7784089], [-73.967916, 40.7784182], [-73.9679359, 40.7784258], [-73.9679658, 40.7784368], [-73.9679907, 40.7784461], [-73.9680212, 40.7784573], [-73.9680517, 40.7784685], [-73.9680743, 40.7784768], [-73.9681048, 40.7784882], [-73.9681274, 40.7784967], [-73.96815, 40.7785052], [-73.9681364, 40.7785233], [-73.9681228, 40.7785415], [-73.9681091, 40.7785596], [-73.9680955, 40.7785777], [-73.9680805, 40.7785991], [-73.9680179, 40.7785735]]",43,N/A,N/A,N/A,"[-73.96795845, 40.7785143]","[-1.2909844159308614, 0.7117193386065906]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9646282, 40.7941834], [-73.9650471, 40.7935984], [-73.9651206, 40.7936286], [-73.9651497, 40.793588], [-73.9659396, 40.7939124], [-73.9654915, 40.7945379], [-73.9646282, 40.7941834]]",151,N/A,N/A,N/A,"[-73.9652839, 40.79406295]","[-1.2909377362273524, 0.7119907137433309]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9444119, 40.786567], [-73.9444005, 40.7865763], [-73.9443877, 40.7865786], [-73.9443711, 40.7865801], [-73.9443216, 40.7865617], [-73.9441372, 40.7868166], [-73.9443375, 40.7869066], [-73.9443821, 40.7868443], [-73.9445277, 40.7866458], [-73.9444784, 40.7866262], [-73.9444733, 40.7866201], [-73.9444692, 40.7866111], [-73.9444682, 40.7866016], [-73.9444738, 40.7865931], [-73.9444119, 40.786567]]",75,surface,N/A,N/A,"[-73.94433244999999, 40.78673415]","[-1.290572064441785, 0.7118628020531108]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9750216, 40.7792998], [-73.9747333, 40.7791752], [-73.9745626, 40.7794016], [-73.9747646, 40.779489], [-73.9748102, 40.7794285], [-73.9748964, 40.7794658], [-73.9750216, 40.7792998]]",239,N/A,N/A,N/A,"[-73.9747921, 40.7793321]","[-1.2911036856232905, 0.7117336119092135]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.987887, 40.7714539], [-73.9877536, 40.7713978], [-73.9876997, 40.7714753], [-73.9878708, 40.7715463], [-73.9878946, 40.7715133], [-73.9878558, 40.7714972], [-73.987865, 40.7714844], [-73.987887, 40.7714539]]",143,surface,N/A,N/A,"[-73.98779715, 40.77147205]","[-1.291330666565177, 0.7115964281573421]"
New York City Housing Authority,parking,N/A,N/A,LineString,Unnamed,"[[-73.9874362, 40.7720764], [-73.9872883, 40.7720155], [-73.9870534, 40.7723414], [-73.9870875, 40.7723559], [-73.9886062, 40.7729987], [-73.9887018, 40.7730392], [-73.9889412, 40.7727086], [-73.9887765, 40.7726365], [-73.9886022, 40.7728758], [-73.9878926, 40.7725792], [-73.9872619, 40.7723156], [-73.9874362, 40.7720764]]",143,surface,N/A,N/A,"[-73.98799729999999, 40.772527350000004]","[-1.2913341598416745, 0.7116148466169385]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9371332, 40.8181748], [-73.9374177, 40.8177739], [-73.936842, 40.817538], [-73.9365578, 40.8179353], [-73.9371332, 40.8181748]]",42,N/A,N/A,N/A,"[-73.93698775, 40.8178564]","[-1.290443875244214, 0.7124059877862395]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9370246, 40.8163409], [-73.936582, 40.8161654], [-73.9367859, 40.8158493], [-73.9372289, 40.8160337], [-73.9370246, 40.8163409]]",42,N/A,N/A,N/A,"[-73.93690545, 40.8160951]","[-1.2904424388382396, 0.7123752473021242]"
Fordham University,parking,N/A,N/A,LineString,Unnamed,"[[-73.9842419, 40.7706963], [-73.9842019, 40.7706808], [-73.9841744, 40.7707179], [-73.9841116, 40.7706919], [-73.9840871, 40.770682], [-73.9840661, 40.7706736], [-73.9840219, 40.7706565], [-73.9842947, 40.7702934], [-73.9843437, 40.7703162], [-73.9843721, 40.7702758], [-73.9844709, 40.7703214], [-73.9844383, 40.7703663], [-73.9844739, 40.7703808], [-73.9842419, 40.7706963]]",142,surface,N/A,N/A,"[-73.9842479, 40.77049685]","[-1.2912687204667004, 0.7115794077064767]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9360363, 40.8168961], [-73.9362588, 40.8165805], [-73.9358067, 40.816398], [-73.9355873, 40.8167092], [-73.9360363, 40.8168961]]",42,N/A,N/A,N/A,"[-73.93592305, 40.81664705]","[-1.2904252927236681, 0.7123848806469306]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9363022, 40.8156481], [-73.936048, 40.8160042], [-73.9356024, 40.815822], [-73.9358619, 40.8154648], [-73.9363022, 40.8156481]]",42,N/A,N/A,N/A,"[-73.9359523, 40.815734500000005]","[-1.2904258032324742, 0.7123689536448415]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9380143, 40.8170694], [-73.9373128, 40.8167819], [-73.9377062, 40.8162323], [-73.9384098, 40.8165251], [-73.9380143, 40.8170694]]",42,N/A,N/A,N/A,"[-73.93786130000001, 40.81665085]","[-1.290459121567895, 0.7123849469694422]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9372502, 40.8171038], [-73.9366097, 40.8168387], [-73.9364987, 40.8169923], [-73.9371392, 40.8172574], [-73.9372502, 40.8171038]]",42,N/A,N/A,N/A,"[-73.93687445, 40.81704805]","[-1.2904418977861716, 0.712391879417231]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9403778, 40.8124397], [-73.9402673, 40.8125959], [-73.9400899, 40.8125241], [-73.9398609, 40.8124313], [-73.9397977, 40.8124057], [-73.9396794, 40.8125729], [-73.9387671, 40.8122031], [-73.9390697, 40.8117756], [-73.9395367, 40.8119649], [-73.9398486, 40.8115242], [-73.9401914, 40.8116632], [-73.9400973, 40.811796], [-73.941027, 40.812173], [-73.9409679, 40.8122566], [-73.9408008, 40.8124926], [-73.9407452, 40.81247], [-73.9404416, 40.8123469], [-73.9403453, 40.8123079], [-73.9402801, 40.8124001], [-73.9403778, 40.8124397]]",42,N/A,N/A,N/A,"[-73.93989705000001, 40.81206005]","[-1.2904946521081426, 0.7123048223941416]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9401156, 40.8128207], [-73.9403778, 40.8124397], [-73.9404416, 40.8123469], [-73.9407452, 40.81247], [-73.9404179, 40.8129444], [-73.9401156, 40.8128207]]",42,N/A,N/A,N/A,"[-73.9404304, 40.81264565]","[-1.2905039608217077, 0.7123150430422412]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.941308, 40.8126262], [-73.9411376, 40.8125564], [-73.941265, 40.8123782], [-73.9409679, 40.8122566], [-73.941027, 40.812173], [-73.9410633, 40.8121188], [-73.9414671, 40.8122841], [-73.9413689, 40.8124215], [-73.9414349, 40.8124485], [-73.941308, 40.8126262]]",42,N/A,N/A,N/A,"[-73.9412175, 40.812372499999995]","[-1.2905176983082502, 0.7123102756753894]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9365964, 40.8102077], [-73.9362593, 40.8100703], [-73.9364108, 40.8098576], [-73.9367461, 40.8099974], [-73.9365964, 40.8102077]]",74,N/A,N/A,N/A,"[-73.9365027, 40.81003265]","[-1.2904354095246773, 0.7122694375888866]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9376485, 40.8065856], [-73.9374168, 40.8064923], [-73.9370733, 40.806354], [-73.937265, 40.8060813], [-73.937371, 40.806124], [-73.9374343, 40.8060339], [-73.9375149, 40.8060664], [-73.9377126, 40.8057852], [-73.937742, 40.805797], [-73.9378178, 40.8058276], [-73.9379011, 40.8057093], [-73.9381885, 40.805825], [-73.9380587, 40.8060095], [-73.9379743, 40.8059755], [-73.9378877, 40.8059406], [-73.9377929, 40.8060755], [-73.9378225, 40.8060874], [-73.9379597, 40.8061426], [-73.9376485, 40.8065856]]",74,N/A,N/A,N/A,"[-73.93763089999999, 40.80614745]","[-1.290455100329298, 0.7122016280567881]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9351595, 40.8110794], [-73.9352735, 40.8110966], [-73.9354506, 40.811056], [-73.9354895, 40.810984], [-73.9355123, 40.810855], [-73.9352159, 40.8108155], [-73.9351595, 40.8110794]]",74,N/A,N/A,N/A,"[-73.9353359, 40.81095605]","[-1.290415045022965, 0.7122855539591996]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9392797, 40.8043676], [-73.9389392, 40.8042309], [-73.9388396, 40.804373], [-73.9391801, 40.8045097], [-73.9392797, 40.8043676]]",74,N/A,N/A,N/A,"[-73.93905964999999, 40.8043703]","[-1.2904800367209859, 0.7121706109379864]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9402247, 40.8026194], [-73.9401449, 40.8025871], [-73.9400155, 40.8025354], [-73.9399877, 40.8025242], [-73.9401593, 40.8022811], [-73.940396, 40.8023769], [-73.9402247, 40.8026194]]",74,N/A,N/A,N/A,"[-73.94019185, 40.80245025]","[-1.2904997973387773, 0.7121370997436834]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9399121, 40.8026253], [-73.9399429, 40.8026382], [-73.9400155, 40.8025354], [-73.9399877, 40.8025242], [-73.9393913, 40.8022828], [-73.9393188, 40.8023855], [-73.9394711, 40.8024473], [-73.9399121, 40.8026253]]",74,N/A,N/A,N/A,"[-73.93966714999999, 40.802460499999995]","[-1.290490639596192, 0.7121372786399317]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9333311, 40.8050698], [-73.9323963, 40.8046658], [-73.9325461, 40.8044477], [-73.9333829, 40.8048003], [-73.933453, 40.8049962], [-73.933384, 40.8050148], [-73.9333311, 40.8050698]]",74,N/A,N/A,N/A,"[-73.93292464999999, 40.80475875]","[-1.290372960771376, 0.7121773906694657]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9358633, 40.8053298], [-73.9357241, 40.8052723], [-73.9359012, 40.8050266], [-73.9360073, 40.805068], [-73.9361043, 40.80511], [-73.9360543, 40.8051794], [-73.9359906, 40.8051531], [-73.9359178, 40.8052542], [-73.9358633, 40.8053298]]",74,N/A,N/A,N/A,"[-73.9359142, 40.8051782]","[-1.2904251382620293, 0.7121847114530132]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.936174, 40.8051402], [-73.9361043, 40.80511], [-73.9360073, 40.805068], [-73.9361905, 40.804826], [-73.9363571, 40.8048982], [-73.936174, 40.8051402]]",74,N/A,N/A,N/A,"[-73.93618219999999, 40.8049831]","[-1.2904298157444245, 0.7121813063156426]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9314821, 40.800385], [-73.9315771, 40.8002536], [-73.9318775, 40.8003721], [-73.9318108, 40.8004646], [-73.9317631, 40.8004437], [-73.9317542, 40.8004431], [-73.931744, 40.8004465], [-73.9317374, 40.8004517], [-73.9317281, 40.8004672], [-73.931661, 40.8004538], [-73.9316087, 40.8004398], [-73.9315538, 40.8004166], [-73.9314821, 40.800385]]",74,N/A,N/A,N/A,"[-73.9316798, 40.8003604]","[-1.2903512340401828, 0.7121006249803107]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.93156, 40.8002462], [-73.9305198, 40.799807], [-73.9304736, 40.7998739], [-73.9304258, 40.799886], [-73.9304705, 40.7999314], [-73.9304904, 40.7999138], [-73.9305134, 40.799909], [-73.9305347, 40.7999094], [-73.930547, 40.7999118], [-73.9305569, 40.7999186], [-73.9305651, 40.7999257], [-73.930572, 40.7999421], [-73.9305768, 40.7999607], [-73.9305769, 40.7999735], [-73.9305772, 40.7999818], [-73.9305868, 40.7999875], [-73.9306005, 40.7999988], [-73.93061, 40.8000073], [-73.9306172, 40.8000245], [-73.9309151, 40.8001428], [-73.9313959, 40.8003452], [-73.9314664, 40.8003735], [-73.93156, 40.8002462]]",74,N/A,N/A,N/A,"[-73.9309929, 40.80009025]","[-1.290339245373551, 0.7120959099733363]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9333428, 40.8015369], [-73.9335789, 40.8011952], [-73.9335315, 40.8011747], [-73.9335348, 40.8011612], [-73.9335136, 40.8011516], [-73.933461, 40.8011341], [-73.9334393, 40.8011392], [-73.9333907, 40.8011244], [-73.9331594, 40.8014557], [-73.9333428, 40.8015369]]",74,N/A,N/A,N/A,"[-73.93336915, 40.80133065]","[-1.2903807187599015, 0.7121175590373781]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9336381, 40.7999399], [-73.9338127, 40.7996952], [-73.9333498, 40.7994984], [-73.9332805, 40.7995935], [-73.9335537, 40.7997102], [-73.933445, 40.7998608], [-73.9336381, 40.7999399]]",74,N/A,N/A,N/A,"[-73.9335466, 40.79971915]","[-1.290383815846659, 0.7120894330564822]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9387334, 40.7888664], [-73.9388285, 40.7887343], [-73.9384376, 40.7885693], [-73.9384234, 40.7885879], [-73.9383396, 40.7885562], [-73.938304, 40.788608], [-73.9383348, 40.7886406], [-73.9383401, 40.7886624], [-73.9383399, 40.7886806], [-73.9383047, 40.788735], [-73.9383615, 40.7887603], [-73.9384042, 40.7887139], [-73.9384321, 40.7886954], [-73.938451, 40.7886932], [-73.9384806, 40.7887048], [-73.9384525, 40.7887484], [-73.9387334, 40.7888664]]",75,N/A,N/A,N/A,"[-73.93856625000001, 40.7887113]","[-1.2904714252664569, 0.7118973098304167]"
Manhattan Mini Storage,parking,N/A,N/A,LineString,Unnamed,"[[-73.9372524, 40.7924021], [-73.9375442, 40.7920155], [-73.9376125, 40.7920444], [-73.9373249, 40.7924332], [-73.9372524, 40.7924021]]",75,surface,N/A,N/A,"[-73.93743245, 40.79222435]","[-1.2904516367233978, 0.7119586241197037]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9784642, 40.7124422], [-73.9784705, 40.7125255], [-73.9787544, 40.7125155], [-73.97876, 40.7125975], [-73.9796438, 40.7125337], [-73.979723, 40.7131521], [-73.9797716, 40.7135571], [-73.9800401, 40.7135324], [-73.9798732, 40.712349], [-73.9784642, 40.7124422]]",232,N/A,N/A,N/A,"[-73.97925215000001, 40.71295305]","[-1.291181528180594, 0.7105750789323676]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9789207, 40.7146051], [-73.9787576, 40.7145577], [-73.978139, 40.7143777], [-73.978108, 40.7143683], [-73.9777649, 40.7143975], [-73.9771402, 40.7142066], [-73.9769347, 40.7145989], [-73.9775289, 40.7147746], [-73.9784862, 40.7150577], [-73.9786778, 40.7146674], [-73.9790315, 40.7147665], [-73.9790968, 40.7147541], [-73.9790584, 40.7146465], [-73.9789207, 40.7146051]]",232,N/A,N/A,N/A,"[-73.97801575, 40.71463215]","[-1.2911599489297223, 0.7106043847558378]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9461466, 40.7988071], [-73.94632, 40.7988778], [-73.9464927, 40.7987962], [-73.9465361, 40.7988048], [-73.9465624, 40.7987749], [-73.9467665, 40.7984948], [-73.9466497, 40.7981618], [-73.9464251, 40.7980673], [-73.946389, 40.7981162], [-73.9465893, 40.7982054], [-73.946495, 40.798328], [-73.9466208, 40.7983808], [-73.9463594, 40.7987403], [-73.9462336, 40.7986875], [-73.9461466, 40.7988071]]",74,N/A,N/A,N/A,"[-73.94645655, 40.79847255]","[-1.290609136980427, 0.7120676757820269]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.965994, 40.7974829], [-73.9658771, 40.7976488], [-73.9662125, 40.7977842], [-73.9663293, 40.7976182], [-73.965994, 40.7974829]]",151,N/A,N/A,N/A,"[-73.96610319999999, 40.79763355]","[-1.2909520357099138, 0.7120530324696026]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.965936, 40.798018], [-73.9655474, 40.7985645], [-73.9659881, 40.798744], [-73.9663765, 40.7981975], [-73.965936, 40.798018]]",151,N/A,N/A,N/A,"[-73.96596195000001, 40.798381]","[-1.2909495704323455, 0.7120660779330966]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9669437, 40.7984096], [-73.9664738, 40.7982153], [-73.9664101, 40.7983036], [-73.9665593, 40.7983653], [-73.9668801, 40.7984978], [-73.9669437, 40.7984096]]",151,N/A,N/A,N/A,"[-73.96667690000001, 40.79835655]","[-1.2909620486638327, 0.7120656512000946]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9639747, 40.7962561], [-73.9635218, 40.7960707], [-73.9638883, 40.7955577], [-73.9643412, 40.7957432], [-73.9639747, 40.7962561]]",151,surface,N/A,N/A,"[-73.9639315, 40.795906900000006]","[-1.2909141323945483, 0.7120228967420732]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.963583, 40.796604], [-73.9634179, 40.7965374], [-73.9635705, 40.7963207], [-73.9637357, 40.7963874], [-73.963583, 40.796604]]",151,surface,N/A,N/A,"[-73.9635768, 40.79646235]","[-1.2909079417116915, 0.7120325911734032]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9672727, 40.796892], [-73.9667674, 40.7966868], [-73.9668276, 40.7966003], [-73.9668804, 40.7965278], [-73.9670652, 40.7966028], [-73.9671508, 40.7966376], [-73.9671396, 40.7966534], [-73.967125, 40.796674], [-73.9673113, 40.7967497], [-73.9673596, 40.7967694], [-73.9672727, 40.796892]]",151,N/A,N/A,N/A,"[-73.9670635, 40.796709899999996]","[-1.2909687961067207, 0.7120369117359665]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9670833, 40.7962492], [-73.9668647, 40.7961579], [-73.966609, 40.7965091], [-73.9668276, 40.7966003], [-73.9668804, 40.7965278], [-73.9669026, 40.7964973], [-73.9670833, 40.7962492]]",151,surface,N/A,N/A,"[-73.96684615000001, 40.796379099999996]","[-1.2909650026335917, 0.712031138186801]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9570123, 40.8136707], [-73.9569644, 40.8136209], [-73.9568857, 40.8135378], [-73.956822, 40.8133298], [-73.9569014, 40.8131826], [-73.9568953, 40.8130021], [-73.9567897, 40.8129531], [-73.9565813, 40.8132375], [-73.9566176, 40.8134233], [-73.9566269, 40.8135383], [-73.9568263, 40.8137681], [-73.9569648, 40.8136956], [-73.9570123, 40.8136707]]",166,N/A,N/A,N/A,"[-73.9567968, 40.813360599999996]","[-1.2907896083884063, 0.7123275212737283]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9585867, 40.813764], [-73.9583272, 40.8138199], [-73.9581532, 40.8133572], [-73.958276, 40.8133307], [-73.9584529, 40.8134051], [-73.9585867, 40.813764]]",166,N/A,N/A,N/A,"[-73.95836994999999, 40.8135753]","[-1.290817065035534, 0.7123312684956323]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9587504, 40.8146467], [-73.9586371, 40.8146033], [-73.9584911, 40.814214], [-73.9587111, 40.8141693], [-73.9588009, 40.8144089], [-73.9587111, 40.8144292], [-73.9587553, 40.8145428], [-73.9588097, 40.8145647], [-73.9587812, 40.8146041], [-73.9587504, 40.8146467]]",166,N/A,N/A,N/A,"[-73.95865040000001, 40.814408]","[-1.2908219598114214, 0.7123458018523138]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.956943, 40.8134752], [-73.9568957, 40.8133492], [-73.9570405, 40.8133188], [-73.9570864, 40.8134443], [-73.9570687, 40.8134484], [-73.956943, 40.8134752]]",166,N/A,N/A,N/A,"[-73.95699105, 40.813396999999995]","[-1.2907929986904783, 0.7123281565735761]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9548104, 40.8109483], [-73.9546005, 40.8108641], [-73.9544606, 40.8110562], [-73.9545415, 40.8111555], [-73.9546582, 40.8111687], [-73.9548104, 40.8109483]]",166,N/A,N/A,N/A,"[-73.9546355, 40.8110164]","[-1.290751886587283, 0.7122866072654032]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9558303, 40.8120325], [-73.9557316, 40.811775], [-73.9551877, 40.8118938], [-73.9554534, 40.8121973], [-73.9558277, 40.8121157], [-73.9558303, 40.8120325]]",166,N/A,N/A,N/A,"[-73.955509, 40.811986149999996]","[-1.2907671320382992, 0.7123035325958244]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9540096, 40.8156059], [-73.9536266, 40.8154498], [-73.9534541, 40.8156922], [-73.9538371, 40.8158483], [-73.9540096, 40.8156059]]",152,N/A,N/A,N/A,"[-73.95373185, 40.815649050000005]","[-1.2907361149194971, 0.7123674622609958]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9555683, 40.8171539], [-73.9553635, 40.8170789], [-73.9551644, 40.8174232], [-73.9553704, 40.8174983], [-73.9555683, 40.8171539]]",152,N/A,N/A,N/A,"[-73.95536634999999, 40.8172886]","[-1.290764642326121, 0.7123960778067467]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9608902, 40.818839], [-73.9601742, 40.8185764], [-73.9599793, 40.8187744], [-73.9597121, 40.8191365], [-73.9597681, 40.8191598], [-73.9597289, 40.8191863], [-73.959928, 40.8192736], [-73.960335, 40.8194459], [-73.9608902, 40.818839]]",152,N/A,N/A,N/A,"[-73.96030114999999, 40.819011149999994]","[-1.2908507708340484, 0.7124261419757769]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9608155, 40.8057365], [-73.9602461, 40.8055163], [-73.960428, 40.8052585], [-73.9609921, 40.8054933], [-73.9608155, 40.8057365]]",166,N/A,N/A,N/A,"[-73.9606191, 40.8054975]","[-1.2908563201084053, 0.7121902842893149]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9552056, 40.8055054], [-73.9548622, 40.8053667], [-73.9547749, 40.8054906], [-73.9551182, 40.8056293], [-73.9552056, 40.8055054]]",41,N/A,N/A,N/A,"[-73.95499025000001, 40.805498]","[-1.2907580781428045, 0.7121902930159612]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9519706, 40.8019668], [-73.9521052, 40.8017803], [-73.9514771, 40.8015207], [-73.9513426, 40.8017072], [-73.9519706, 40.8019668]]",41,N/A,N/A,N/A,"[-73.9517239, 40.80174375]","[-1.290701069580782, 0.7121247689925181]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9469132, 40.8018397], [-73.9465371, 40.8016846], [-73.9463632, 40.8019262], [-73.9467393, 40.8020813], [-73.9469132, 40.8018397]]",41,N/A,N/A,N/A,"[-73.9466382, 40.80188295]","[-1.2906123073710132, 0.7121271984908368]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9416721, 40.8011037], [-73.9420496, 40.8005882], [-73.9417505, 40.8004627], [-73.9415614, 40.8007209], [-73.9413945, 40.8006508], [-73.9412931, 40.8007893], [-73.941206, 40.8009082], [-73.9416721, 40.8011037]]",74,N/A,N/A,N/A,"[-73.94162779999999, 40.8007832]","[-1.2905248593941712, 0.7121080042323881]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9592758, 40.8134408], [-73.9584029, 40.8130688], [-73.958432, 40.8130231], [-73.9578117, 40.8127633], [-73.9577895, 40.8127932], [-73.9574065, 40.8126329], [-73.9573258, 40.8127436], [-73.959205, 40.8135371], [-73.9592758, 40.8134408]]",166,N/A,N/A,N/A,"[-73.9583008, 40.813085]","[-1.2908158581403564, 0.71232271114631]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9498693, 40.8103991], [-73.9500423, 40.8101652], [-73.9503244, 40.8102832], [-73.9501502, 40.8105184], [-73.9498693, 40.8103991]]",41,N/A,N/A,N/A,"[-73.95009685, 40.8103418]","[-1.2906726722011872, 0.7122748332742692]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9559182, 40.7998498], [-73.9557244, 40.7997699], [-73.9556003, 40.7999422], [-73.9557941, 40.8000221], [-73.9559182, 40.7998498]]",41,surface,N/A,N/A,"[-73.95575925, 40.799896000000004]","[-1.2907714997247521, 0.7120925196712644]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9521133, 40.8095907], [-73.951876, 40.8094948], [-73.9522176, 40.8090107], [-73.9523853, 40.8090785], [-73.9523166, 40.809176], [-73.9522239, 40.8093074], [-73.9522934, 40.8093355], [-73.952277, 40.8093588], [-73.9521133, 40.8095907]]",41,N/A,N/A,N/A,"[-73.95213065, 40.8093007]","[-1.2907081687075144, 0.7122566626514267]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9460844, 40.8000352], [-73.9458629, 40.7999432], [-73.9460364, 40.7997039], [-73.9462578, 40.7997958], [-73.9460844, 40.8000352]]",74,N/A,N/A,N/A,"[-73.94606035, 40.79986955]","[-1.2906022219859303, 0.7120920580316772]"
N/A,parking,N/A,N/A,LineString,Unnamed,"[[-73.9412155, 40.7959844], [-73.9410286, 40.7959113], [-73.9408819, 40.7961055], [-73.9406299, 40.796439], [-73.9408258, 40.796523], [-73.9412155, 40.7959844]]",74,N/A,N/A,N/A,"[-73.9409227, 40.796217150000004]","[-1.2905125530776154, 0.7120283116260775]"
