Location ID,amenity,Parking Station Name,operator,Rate Zone,Zone Info,opening_hours,layer,parking_type,Coordinates,Geometry Type,CenterPoint
68,parking,Unnamed,Icon Parking Systems,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-74.0030094, 40.7401692]",Point,"[-74.0030094, 40.7401692]"
140,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.958389, 40.7599463]",Point,"[-73.958389, 40.7599463]"
230,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9873443, 40.7596857]",Point,"[-73.9873443, 40.7596857]"
236,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,garage,"[-73.9586469, 40.7800235]",Point,"[-73.9586469, 40.7800235]"
234,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9901983, 40.7457943]",Point,"[-73.9901983, 40.7457943]"
140,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9591769, 40.7606227]",Point,"[-73.9591769, 40.7606227]"
236,parking,Unnamed,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,N/A,"[-73.9504499, 40.785132]",Point,"[-73.9504499, 40.785132]"
90,parking,Vincent 15 Parking LLC,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,garage,"[-73.9968701, 40.7383801]",Point,"[-73.9968701, 40.7383801]"
142,parking,Allie II parking,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,-1.0,underground,"[-73.9861645, 40.7699259]",Point,"[-73.9861645, 40.7699259]"
48,parking,24 Hour Parking,N/A,Manhattan Neighborhood,Zone M2 - (Commercial Vehicles $5.00 1st Hour / $6.00 2nd Hour / $7.00 3rd Hour - All Vehicles $4.00 1st Hour / $6.75 2nd Hour),N/A,N/A,multi-storey,"[-73.9837732, 40.7678612]",Point,"[-73.9837732, 40.7678612]"
